"","ID","Site","Lat","Long","Mean_T","Mean_precip","AGB","L_AGB","T_AGB","Age","A_L_Ratio","A_T_Ratio","Ref","Age_sq"
"671","671","380",50.96,13.57,8.30714287076678,807.111111111111,126.325,168.125,NA,107,0.751375464684015,NA,"Luyssaert et al., 2007",11449
"672","672","381",50.93,13.46,7.5,820,110.74,147.99,NA,97,0.748293803635381,NA,"Luyssaert et al., 2007",9409
"673","673","383",55.9,-98.47,-0.199999988079071,352,57.21,77.93,NA,151.666666666667,0.734120364429616,NA,"Luyssaert et al., 2007",23002.7777777778
"676","676","388",58,83,1.20000004768372,520,163.39,189.82,NA,122,0.860762827942261,NA,"Luyssaert et al., 2007",14884
"677","677","389",58,83,1.20000004768372,520,79.24,98.4,NA,80,0.805284552845528,NA,"Luyssaert et al., 2007",6400
"679","679","396",50.07,4.35,8.5,952,56.87,73.32,NA,80,0.775641025641026,NA,"Luyssaert et al., 2007",6400
"680","680","400",50.2,11.88,5.5,890,115.1,152,NA,142,0.757236842105263,NA,"Luyssaert et al., 2007",20164
"681","681","413",50.45,11.45,5.5,950,137.33,172.96,NA,116,0.79399861239593,NA,"Luyssaert et al., 2007",13456
"682","682","436",60.72,89.13,-4.89999997615814,542,76.525,91.355,NA,207.5,0.83766624705818,NA,"Luyssaert et al., 2007",43056.25
"683","683","440",33.33,133,13.6000003814697,2748,266.45,344.27,NA,443,0.773956487640515,NA,"Luyssaert et al., 2007",196249
"684","684","441",33.33,133,13.6000003814697,2748,235.71,304.17,NA,145,0.774928493934313,NA,"Luyssaert et al., 2007",21025
"685","685","236",55.73,13.3,7,644,94.47,112.8,NA,190,0.8375,NA,"Luyssaert et al., 2007",36100
"686","686","244",52.17,5.74,10.1199999809265,902.777777777778,42.6,49.49,NA,88,0.860779955546575,NA,"Luyssaert et al., 2007",7744
"687","687","245",45.8344,-122.0899,8.195,2930,343.5,NA,NA,111,NA,NA,"Luyssaert et al., 2007",12321
"688","688","246",45.8464,-122.1093,8.195,2930,444.45,NA,NA,85,NA,NA,"Luyssaert et al., 2007",7225
"689","689","249",-11.48,27.6,20.2999992370605,1273,79.69,91.66,NA,120,0.869408684267947,NA,"Luyssaert et al., 2007",14400
"693","693","271",54.21,-2.89,7.80000019073486,1115,60.36,95.71,NA,80,0.630655103959879,NA,"Luyssaert et al., 2007",6400
"694","694","274",44.42,-121.67,8.14999993642171,482.125,108.88,147.17,NA,148,0.739824692532446,NA,"Luyssaert et al., 2007",21904
"695","695","275",44.4982,-121.6249,8.42,630,122.26,162.17,NA,190,0.753900228155639,NA,"Luyssaert et al., 2007",36100
"696","696","276",44.4222,-121.6066,8.42,630,156.96,205.33,NA,316,0.764427993960941,NA,"Luyssaert et al., 2007",99856
"697","697","277",44.4513,-121.5575,8.42,630,68.96,92.08,NA,88,0.748913987836664,NA,"Luyssaert et al., 2007",7744
"698","698","278",44.434,-121.6701,8.42,630,107.99,142.88,NA,106,0.755809070548712,NA,"Luyssaert et al., 2007",11236
"699","699","279",44.4526,-121.6691,8.42,630,54.46,70.49,NA,93,0.772591857000993,NA,"Luyssaert et al., 2007",8649
"700","700","280",44.4634,-121.6634,8.42,630,142.29,188.91,NA,96,0.753215817055741,NA,"Luyssaert et al., 2007",9216
"702","702","287",44.6882,-121.865,5.81,1350,309.51,NA,NA,262,NA,NA,"Luyssaert et al., 2007",68644
"703","703","288",44.6958,-121.8698,5.81,1350,275.64,NA,NA,304,NA,NA,"Luyssaert et al., 2007",92416
"706","706","262",51.07,121.27,-6.6,504,44.3,61.3,NA,114,0.722675367047308,NA,"Our work_T15",12996
"707","707","133",42.4666666666667,127.633333333333,1.68,816.84,131,149,NA,250,0.879194630872483,NA,"Our work_T55",62500
"708","708","285",52.47,122.53,-4.8,468,28.1,38.8,NA,125,0.724226804123711,NA,"Our work_T7",15625
"735","735","429",52.5,124.5,-3,500,22,27.285,NA,100,0.806303829943192,NA,"Zhou et al., 2002",10000
"736","736","166",48.2579413955348,120.036106109619,-2,458.7,46.0491183104977,NA,NA,81,NA,NA,"Zhu et al., 2005",6561
"737","737","166",48.2579413955348,120.036106109619,-2,458.7,55.3466956696452,NA,NA,86,NA,NA,"Zhu et al., 2005",7396
"741","741","6",54.17,-116.77,2.6,579,138.22,NA,NA,149,NA,NA,"Ma et al., 2012",22201
"742","742","6",55.33,-111.84,0.2,475,127.11,NA,NA,99,NA,NA,"Ma et al., 2012",9801
"743","743","6",49.38,-114.39,2.5,669,88.55,NA,NA,123,NA,NA,"Ma et al., 2012",15129
"744","744","6",49.34,-114.15,1.5,648,182.92,NA,NA,105,NA,NA,"Ma et al., 2012",11025
"745","745","6",50.18,-114.47,0,631,152.72,NA,NA,136,NA,NA,"Ma et al., 2012",18496
"746","746","6",50.27,-114.59,0.8,626,141.29,NA,NA,117,NA,NA,"Ma et al., 2012",13689
"747","747","6",50.26,-114.6,0.2,635,128.03,NA,NA,138,NA,NA,"Ma et al., 2012",19044
"748","748","6",50.25,-114.6,0.2,636,120.86,NA,NA,136,NA,NA,"Ma et al., 2012",18496
"749","749","6",50.22,-114.59,-0.1,646,213.74,NA,NA,168,NA,NA,"Ma et al., 2012",28224
"750","750","6",50.25,-114.59,0.2,638,120.54,NA,NA,130,NA,NA,"Ma et al., 2012",16900
"751","751","6",50.29,-114.57,0.8,622,119.02,NA,NA,152,NA,NA,"Ma et al., 2012",23104
"752","752","6",51.45,-115.05,0.4,555,154.1,NA,NA,119,NA,NA,"Ma et al., 2012",14161
"753","753","6",52.4,-115.67,0.8,569,95.87,NA,NA,125,NA,NA,"Ma et al., 2012",15625
"754","754","6",54.51,-117.62,2.2,597,210.25,NA,NA,163,NA,NA,"Ma et al., 2012",26569
"755","755","6",56.79,-118.59,-0.6,456,182.22,NA,NA,164,NA,NA,"Ma et al., 2012",26896
"756","756","6",56.55,-119.31,-0.1,439,131.41,NA,NA,123,NA,NA,"Ma et al., 2012",15129
"757","757","6",57.13,-118.33,-0.9,450,171.75,NA,NA,197,NA,NA,"Ma et al., 2012",38809
"758","758","6",55.51,-114.25,-0.9,524,125.4,NA,NA,190,NA,NA,"Ma et al., 2012",36100
"759","759","6",50.14,-114.51,-0.7,652,175.39,NA,NA,194,NA,NA,"Ma et al., 2012",37636
"760","760","6",50.15,-114.5,-0.5,646,168.83,NA,NA,221,NA,NA,"Ma et al., 2012",48841
"761","761","6",50.16,-114.51,-1.2,651,168.66,NA,NA,226,NA,NA,"Ma et al., 2012",51076
"762","762","6",50.16,-114.5,-1,649,159.11,NA,NA,225,NA,NA,"Ma et al., 2012",50625
"763","763","6",50.2,-114.55,-0.6,649,163.25,NA,NA,230,NA,NA,"Ma et al., 2012",52900
"764","764","6",50.19,-114.55,-0.9,652,201.87,NA,NA,172,NA,NA,"Ma et al., 2012",29584
"765","765","6",53.03,-115.25,1.8,543,224.99,NA,NA,158,NA,NA,"Ma et al., 2012",24964
"766","766","6",53.28,-115.45,1.6,559,170,NA,NA,176,NA,NA,"Ma et al., 2012",30976
"767","767","6",55.14,-114.82,-1.1,551,210.59,NA,NA,189,NA,NA,"Ma et al., 2012",35721
"768","768","348",54.09,-105.7,-0.3,465,188.08,NA,NA,118,NA,NA,"Ma et al., 2012",13924
