"","ID","Site","Lat","Long","Mean_T","Mean_precip","AGB","L_AGB","T_AGB","Age","A_L_Ratio","A_T_Ratio","Ref"
"585","585","239",31.4,103.1,7.8,835,92.2,119.96,NA,94,0.77,NA,"Luo, 1996"
"586","586","105",33.53,104.91,3.6,963,46.5,61.18,NA,98,0.76,NA,"Luo, 1996"
"587","587","105",33.57,103.69,3.9,811,61.7,82.9,NA,110,0.74,NA,"Luo, 1996"
"588","588","415",30.9,103.1,9.9,858,45.5,58.7,NA,82,0.78,NA,"Luo, 1996"
"589","589","293",28.7,96.7,12.1,713,59.5,84.14,NA,81,0.71,NA,"Luo, 1996"
"590","590","412",27.1,107.8,4.9,1189,120.1,157.81,NA,222,0.76,NA,"Luo, 1996"
"591","591","81",42.4,128.1,1.8,750,53.6,NA,NA,80,NA,NA,"Luo, 1996"
"592","592","2",64.21,19.5,1,588,74.3,97,NA,180,0.77,NA,"Luyssaert et al., 2007"
"593","593","6",54.25,-117,2.6,500,50,79,NA,NA,0.63,NA,"Luyssaert et al., 2007"
"594","594","7",44.25,-122.2,6.3,1100,435.3,577.35,NA,552,0.75,NA,"Luyssaert et al., 2007"
"595","595","8",44.23,-122.17,6.3,1100,367.8,488.79,NA,795,0.75,NA,"Luyssaert et al., 2007"
"596","596","9",44.26,-122.18,5.8,1350,468.6,621.52,NA,629,0.75,NA,"Luyssaert et al., 2007"
"597","597","10",44.27,-122.22,5.8,1350,167.7,217.96,NA,142,0.77,NA,"Luyssaert et al., 2007"
"598","598","11",44.27,-122.23,5.8,1350,386.9,503.97,NA,146,0.77,NA,"Luyssaert et al., 2007"
"599","599","12",44.26,-122.19,5.8,1350,319.5,417.81,NA,166,0.76,NA,"Luyssaert et al., 2007"
"600","600","13",44.25,-122.33,8.5,2250,362.4,401.16,NA,450,0.9,NA,"Luyssaert et al., 2007"
"601","601","16",35.33,135.75,11.3,2788,137.4,158.67,NA,150,0.87,NA,"Luyssaert et al., 2007"
"602","602","17",48.2,7.18,5.4,1192,123.3,150,NA,161,0.82,NA,"Luyssaert et al., 2007"
"603","603","18",48.2,7.18,5.4,1192,125.6,147,NA,92,0.85,NA,"Luyssaert et al., 2007"
"604","604","30",44.06,-71.29,6.9,1270,107.3,127.1,NA,80,0.84,NA,"Luyssaert et al., 2007"
"605","605","36",43.71,-122.94,9.1,1590,652.7,NA,NA,171,NA,NA,"Luyssaert et al., 2007"
"606","606","41",64.75,-148.25,-3.5,269,63.7,73.64,NA,100,0.86,NA,"Luyssaert et al., 2007"
"607","607","42",64.75,-148.25,-3.5,269,70.5,79.65,NA,250,0.88,NA,"Luyssaert et al., 2007"
"608","608","43",64.75,-148.25,-3.5,269,15,19.72,NA,250,0.76,NA,"Luyssaert et al., 2007"
