Number,Biome,GEZ_TERM,Region,Site,Species/forest type,Latitude,Longitude,Temp,Precip,AGB,Age,Reference 1,Method used to determine tree age,FullBibEntry
34,Temperate,Temperate mountain system,Asia,"Zhongtie, Qinghai, China",Sabina przewalskiiKom,35.02,100.05,-1.6,430,97.9,263,"China’s Forest Editorial Committee, 1999",Tree rings,"China’s Forest Editorial Committee (1999) China’s Forest (Volume 2): Coniferous Forest. China Forestry Publishing House, Beijing, China"
35,Subtropical,Subtropical mountain system,Asia,"Bomi, Tibet, China","Picea,Abies",29.92,95.88,9,850,717.6,350,"Fenget al., 1999",Historical record,"Feng, Z.W., Wang, X.K. & Wu, G. (1999) Forest Biomass and Productivity in China. Science Press, Beijing, China"
36,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.25,-122.18,8.5,2118,615.3,450,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-180"
37,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.21,-122.24,10.3,1869,422.1,460,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-180"
38,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.22,-122.25,10.4,1859,253.7,450,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-180"
39,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.21,-122.22,10.1,2003,307.3,450,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-180"
40,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.21,-122.15,5.8,2260,407.9,460,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-180"
41,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.23,-122.12,7,2332,605.9,460,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-180"
42,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.23,-122.15,8,2264,550.5,450,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-180"
43,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.2,-122.26,11.4,1719,283.9,460,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-180"
