Number,Biome,GEZ_TERM,Region,Site,Species/forest type,Latitude,Longitude,Temp,Precip,AGB,Age,Reference 1,Method used to determine tree age,FullBibEntry
605,Temperate,Temperate oceanic forest,North America,Blue Mountain 6,,43.71,-122.94,9.1,1590,652.7,171,"Luyssaert et al., 2007",Tree rings,"Luyssaert, S., Inglima, I., Jung M., Richardson, A.D., Reichstein, M., Papale, D., Piao, S.L., Schulze, E.D., Wingate, L., Matteucci, G., Aragao, L., Aubinet, M., Beer, C., Bernhofer, C., Black, K.G., Bonal, D., Bonnefond, J.M., Chambers, J., Ciais, P., Cook, B., Davis, K.J., Dolman, A.J., Gielen, B., Goulden, M., Grace, J., Granier, A., Grelle, A., Griffis, T., GrÜNwald, T., Guidolotti, G., Hanson, P.J., Harding, R., Hollinger, D.Y., Hutyra, L.R., Kolari, P., Kruijt, B., Kutsch, W., Lagergren, F., Laurila, T., Law, B.E., Le Maire, G., Lindroth, A., Loustau, D., Malhi, Y., Mateus, J., Migliavacca, M., Misson, L., Montagnani, L., Moncrieff, J., Moors, E., Munger, J.W., Nikinmaa, E., Ollinger, S.V., Pita, G., Rebmann, C., Roupsard, O., Saigusa, N., Sanz, M.J., Seufert, G., Sierra, C., Smith, M.L., Tang, J., Valentini, R., Vesala, T. & Janssens, I.A. (2007) The CO2-balance of boreal, temperate and tropical forest derived from a global database. Global Change Biology, 13, 2509-2537."
606,Boreal,Boreal mountain system,North America,Bonanza FP3,,64.75,-148.25,-3.5,269,63.7,100,"Luyssaert et al., 2007",Tree rings,"Luyssaert, S., Inglima, I., Jung M., Richardson, A.D., Reichstein, M., Papale, D., Piao, S.L., Schulze, E.D., Wingate, L., Matteucci, G., Aragao, L., Aubinet, M., Beer, C., Bernhofer, C., Black, K.G., Bonal, D., Bonnefond, J.M., Chambers, J., Ciais, P., Cook, B., Davis, K.J., Dolman, A.J., Gielen, B., Goulden, M., Grace, J., Granier, A., Grelle, A., Griffis, T., GrÜNwald, T., Guidolotti, G., Hanson, P.J., Harding, R., Hollinger, D.Y., Hutyra, L.R., Kolari, P., Kruijt, B., Kutsch, W., Lagergren, F., Laurila, T., Law, B.E., Le Maire, G., Lindroth, A., Loustau, D., Malhi, Y., Mateus, J., Migliavacca, M., Misson, L., Montagnani, L., Moncrieff, J., Moors, E., Munger, J.W., Nikinmaa, E., Ollinger, S.V., Pita, G., Rebmann, C., Roupsard, O., Saigusa, N., Sanz, M.J., Seufert, G., Sierra, C., Smith, M.L., Tang, J., Valentini, R., Vesala, T. & Janssens, I.A. (2007) The CO2-balance of boreal, temperate and tropical forest derived from a global database. Global Change Biology, 13, 2509-2537."
607,Boreal,Boreal mountain system,North America,Bonanza FP4,,64.75,-148.25,-3.5,269,70.5,250,"Luyssaert et al., 2007",Tree rings,"Luyssaert, S., Inglima, I., Jung M., Richardson, A.D., Reichstein, M., Papale, D., Piao, S.L., Schulze, E.D., Wingate, L., Matteucci, G., Aragao, L., Aubinet, M., Beer, C., Bernhofer, C., Black, K.G., Bonal, D., Bonnefond, J.M., Chambers, J., Ciais, P., Cook, B., Davis, K.J., Dolman, A.J., Gielen, B., Goulden, M., Grace, J., Granier, A., Grelle, A., Griffis, T., GrÜNwald, T., Guidolotti, G., Hanson, P.J., Harding, R., Hollinger, D.Y., Hutyra, L.R., Kolari, P., Kruijt, B., Kutsch, W., Lagergren, F., Laurila, T., Law, B.E., Le Maire, G., Lindroth, A., Loustau, D., Malhi, Y., Mateus, J., Migliavacca, M., Misson, L., Montagnani, L., Moncrieff, J., Moors, E., Munger, J.W., Nikinmaa, E., Ollinger, S.V., Pita, G., Rebmann, C., Roupsard, O., Saigusa, N., Sanz, M.J., Seufert, G., Sierra, C., Smith, M.L., Tang, J., Valentini, R., Vesala, T. & Janssens, I.A. (2007) The CO2-balance of boreal, temperate and tropical forest derived from a global database. Global Change Biology, 13, 2509-2537."
608,Boreal,Boreal mountain system,North America,Bonanza FP5,,64.75,-148.25,-3.5,269,15,250,"Luyssaert et al., 2007",Tree rings,"Luyssaert, S., Inglima, I., Jung M., Richardson, A.D., Reichstein, M., Papale, D., Piao, S.L., Schulze, E.D., Wingate, L., Matteucci, G., Aragao, L., Aubinet, M., Beer, C., Bernhofer, C., Black, K.G., Bonal, D., Bonnefond, J.M., Chambers, J., Ciais, P., Cook, B., Davis, K.J., Dolman, A.J., Gielen, B., Goulden, M., Grace, J., Granier, A., Grelle, A., Griffis, T., GrÜNwald, T., Guidolotti, G., Hanson, P.J., Harding, R., Hollinger, D.Y., Hutyra, L.R., Kolari, P., Kruijt, B., Kutsch, W., Lagergren, F., Laurila, T., Law, B.E., Le Maire, G., Lindroth, A., Loustau, D., Malhi, Y., Mateus, J., Migliavacca, M., Misson, L., Montagnani, L., Moncrieff, J., Moors, E., Munger, J.W., Nikinmaa, E., Ollinger, S.V., Pita, G., Rebmann, C., Roupsard, O., Saigusa, N., Sanz, M.J., Seufert, G., Sierra, C., Smith, M.L., Tang, J., Valentini, R., Vesala, T. & Janssens, I.A. (2007) The CO2-balance of boreal, temperate and tropical forest derived from a global database. Global Change Biology, 13, 2509-2537."
609,Boreal,Boreal mountain system,North America,Bonanza UP2,,64.75,-148.25,-3.5,269,78.4,80,"Luyssaert et al., 2007",Tree rings,"Luyssaert, S., Inglima, I., Jung M., Richardson, A.D., Reichstein, M., Papale, D., Piao, S.L., Schulze, E.D., Wingate, L., Matteucci, G., Aragao, L., Aubinet, M., Beer, C., Bernhofer, C., Black, K.G., Bonal, D., Bonnefond, J.M., Chambers, J., Ciais, P., Cook, B., Davis, K.J., Dolman, A.J., Gielen, B., Goulden, M., Grace, J., Granier, A., Grelle, A., Griffis, T., GrÜNwald, T., Guidolotti, G., Hanson, P.J., Harding, R., Hollinger, D.Y., Hutyra, L.R., Kolari, P., Kruijt, B., Kutsch, W., Lagergren, F., Laurila, T., Law, B.E., Le Maire, G., Lindroth, A., Loustau, D., Malhi, Y., Mateus, J., Migliavacca, M., Misson, L., Montagnani, L., Moncrieff, J., Moors, E., Munger, J.W., Nikinmaa, E., Ollinger, S.V., Pita, G., Rebmann, C., Roupsard, O., Saigusa, N., Sanz, M.J., Seufert, G., Sierra, C., Smith, M.L., Tang, J., Valentini, R., Vesala, T. & Janssens, I.A. (2007) The CO2-balance of boreal, temperate and tropical forest derived from a global database. Global Change Biology, 13, 2509-2537."
610,Boreal,Boreal mountain system,North America,Bonanza UP3,,64.75,-148.25,-3.5,269,70.3,155,"Luyssaert et al., 2007",Tree rings,"Luyssaert, S., Inglima, I., Jung M., Richardson, A.D., Reichstein, M., Papale, D., Piao, S.L., Schulze, E.D., Wingate, L., Matteucci, G., Aragao, L., Aubinet, M., Beer, C., Bernhofer, C., Black, K.G., Bonal, D., Bonnefond, J.M., Chambers, J., Ciais, P., Cook, B., Davis, K.J., Dolman, A.J., Gielen, B., Goulden, M., Grace, J., Granier, A., Grelle, A., Griffis, T., GrÜNwald, T., Guidolotti, G., Hanson, P.J., Harding, R., Hollinger, D.Y., Hutyra, L.R., Kolari, P., Kruijt, B., Kutsch, W., Lagergren, F., Laurila, T., Law, B.E., Le Maire, G., Lindroth, A., Loustau, D., Malhi, Y., Mateus, J., Migliavacca, M., Misson, L., Montagnani, L., Moncrieff, J., Moors, E., Munger, J.W., Nikinmaa, E., Ollinger, S.V., Pita, G., Rebmann, C., Roupsard, O., Saigusa, N., Sanz, M.J., Seufert, G., Sierra, C., Smith, M.L., Tang, J., Valentini, R., Vesala, T. & Janssens, I.A. (2007) The CO2-balance of boreal, temperate and tropical forest derived from a global database. Global Change Biology, 13, 2509-2537."
611,Temperate,Temperate oceanic forest,Europe,Bornhoved Beech,,54.1,10.23,8.9,772,151,110,"Luyssaert et al., 2007",Historical record,"Luyssaert, S., Inglima, I., Jung M., Richardson, A.D., Reichstein, M., Papale, D., Piao, S.L., Schulze, E.D., Wingate, L., Matteucci, G., Aragao, L., Aubinet, M., Beer, C., Bernhofer, C., Black, K.G., Bonal, D., Bonnefond, J.M., Chambers, J., Ciais, P., Cook, B., Davis, K.J., Dolman, A.J., Gielen, B., Goulden, M., Grace, J., Granier, A., Grelle, A., Griffis, T., GrÜNwald, T., Guidolotti, G., Hanson, P.J., Harding, R., Hollinger, D.Y., Hutyra, L.R., Kolari, P., Kruijt, B., Kutsch, W., Lagergren, F., Laurila, T., Law, B.E., Le Maire, G., Lindroth, A., Loustau, D., Malhi, Y., Mateus, J., Migliavacca, M., Misson, L., Montagnani, L., Moncrieff, J., Moors, E., Munger, J.W., Nikinmaa, E., Ollinger, S.V., Pita, G., Rebmann, C., Roupsard, O., Saigusa, N., Sanz, M.J., Seufert, G., Sierra, C., Smith, M.L., Tang, J., Valentini, R., Vesala, T. & Janssens, I.A. (2007) The CO2-balance of boreal, temperate and tropical forest derived from a global database. Global Change Biology, 13, 2509-2537."
612,Temperate,Temperate mountain system,North America,Breitenbush Hot Springs 5,,44.77,-121.9,6.3,1800,211.6,300,"Luyssaert et al., 2007",Historical record,"Luyssaert, S., Inglima, I., Jung M., Richardson, A.D., Reichstein, M., Papale, D., Piao, S.L., Schulze, E.D., Wingate, L., Matteucci, G., Aragao, L., Aubinet, M., Beer, C., Bernhofer, C., Black, K.G., Bonal, D., Bonnefond, J.M., Chambers, J., Ciais, P., Cook, B., Davis, K.J., Dolman, A.J., Gielen, B., Goulden, M., Grace, J., Granier, A., Grelle, A., Griffis, T., GrÜNwald, T., Guidolotti, G., Hanson, P.J., Harding, R., Hollinger, D.Y., Hutyra, L.R., Kolari, P., Kruijt, B., Kutsch, W., Lagergren, F., Laurila, T., Law, B.E., Le Maire, G., Lindroth, A., Loustau, D., Malhi, Y., Mateus, J., Migliavacca, M., Misson, L., Montagnani, L., Moncrieff, J., Moors, E., Munger, J.W., Nikinmaa, E., Ollinger, S.V., Pita, G., Rebmann, C., Roupsard, O., Saigusa, N., Sanz, M.J., Seufert, G., Sierra, C., Smith, M.L., Tang, J., Valentini, R., Vesala, T. & Janssens, I.A. (2007) The CO2-balance of boreal, temperate and tropical forest derived from a global database. Global Change Biology, 13, 2509-2537."
613,Temperate,Temperate continental forest,North America,Canada - Atlantic Maritime,,46,-66,5,1200,87,,"Luyssaert et al., 2007",,"Luyssaert, S., Inglima, I., Jung M., Richardson, A.D., Reichstein, M., Papale, D., Piao, S.L., Schulze, E.D., Wingate, L., Matteucci, G., Aragao, L., Aubinet, M., Beer, C., Bernhofer, C., Black, K.G., Bonal, D., Bonnefond, J.M., Chambers, J., Ciais, P., Cook, B., Davis, K.J., Dolman, A.J., Gielen, B., Goulden, M., Grace, J., Granier, A., Grelle, A., Griffis, T., GrÜNwald, T., Guidolotti, G., Hanson, P.J., Harding, R., Hollinger, D.Y., Hutyra, L.R., Kolari, P., Kruijt, B., Kutsch, W., Lagergren, F., Laurila, T., Law, B.E., Le Maire, G., Lindroth, A., Loustau, D., Malhi, Y., Mateus, J., Migliavacca, M., Misson, L., Montagnani, L., Moncrieff, J., Moors, E., Munger, J.W., Nikinmaa, E., Ollinger, S.V., Pita, G., Rebmann, C., Roupsard, O., Saigusa, N., Sanz, M.J., Seufert, G., Sierra, C., Smith, M.L., Tang, J., Valentini, R., Vesala, T. & Janssens, I.A. (2007) The CO2-balance of boreal, temperate and tropical forest derived from a global database. Global Change Biology, 13, 2509-2537."
614,Boreal,Boreal tundra woodland,North America,Canada - Eastern Boreal Shield,,51,-82,5.5,1000,67,,"Luyssaert et al., 2007",,"Luyssaert, S., Inglima, I., Jung M., Richardson, A.D., Reichstein, M., Papale, D., Piao, S.L., Schulze, E.D., Wingate, L., Matteucci, G., Aragao, L., Aubinet, M., Beer, C., Bernhofer, C., Black, K.G., Bonal, D., Bonnefond, J.M., Chambers, J., Ciais, P., Cook, B., Davis, K.J., Dolman, A.J., Gielen, B., Goulden, M., Grace, J., Granier, A., Grelle, A., Griffis, T., GrÜNwald, T., Guidolotti, G., Hanson, P.J., Harding, R., Hollinger, D.Y., Hutyra, L.R., Kolari, P., Kruijt, B., Kutsch, W., Lagergren, F., Laurila, T., Law, B.E., Le Maire, G., Lindroth, A., Loustau, D., Malhi, Y., Mateus, J., Migliavacca, M., Misson, L., Montagnani, L., Moncrieff, J., Moors, E., Munger, J.W., Nikinmaa, E., Ollinger, S.V., Pita, G., Rebmann, C., Roupsard, O., Saigusa, N., Sanz, M.J., Seufert, G., Sierra, C., Smith, M.L., Tang, J., Valentini, R., Vesala, T. & Janssens, I.A. (2007) The CO2-balance of boreal, temperate and tropical forest derived from a global database. Global Change Biology, 13, 2509-2537."
615,Boreal,Boreal coniferous forest,North America,Canada - Hudson Plains,,56,-94,-3,600,34,,"Luyssaert et al., 2007",,"Luyssaert, S., Inglima, I., Jung M., Richardson, A.D., Reichstein, M., Papale, D., Piao, S.L., Schulze, E.D., Wingate, L., Matteucci, G., Aragao, L., Aubinet, M., Beer, C., Bernhofer, C., Black, K.G., Bonal, D., Bonnefond, J.M., Chambers, J., Ciais, P., Cook, B., Davis, K.J., Dolman, A.J., Gielen, B., Goulden, M., Grace, J., Granier, A., Grelle, A., Griffis, T., GrÜNwald, T., Guidolotti, G., Hanson, P.J., Harding, R., Hollinger, D.Y., Hutyra, L.R., Kolari, P., Kruijt, B., Kutsch, W., Lagergren, F., Laurila, T., Law, B.E., Le Maire, G., Lindroth, A., Loustau, D., Malhi, Y., Mateus, J., Migliavacca, M., Misson, L., Montagnani, L., Moncrieff, J., Moors, E., Munger, J.W., Nikinmaa, E., Ollinger, S.V., Pita, G., Rebmann, C., Roupsard, O., Saigusa, N., Sanz, M.J., Seufert, G., Sierra, C., Smith, M.L., Tang, J., Valentini, R., Vesala, T. & Janssens, I.A. (2007) The CO2-balance of boreal, temperate and tropical forest derived from a global database. Global Change Biology, 13, 2509-2537."
616,Temperate,Temperate continental forest,North America,Canada - Mixedwood Plains,,45,-77,6.5,860,113,,"Luyssaert et al., 2007",,"Luyssaert, S., Inglima, I., Jung M., Richardson, A.D., Reichstein, M., Papale, D., Piao, S.L., Schulze, E.D., Wingate, L., Matteucci, G., Aragao, L., Aubinet, M., Beer, C., Bernhofer, C., Black, K.G., Bonal, D., Bonnefond, J.M., Chambers, J., Ciais, P., Cook, B., Davis, K.J., Dolman, A.J., Gielen, B., Goulden, M., Grace, J., Granier, A., Grelle, A., Griffis, T., GrÜNwald, T., Guidolotti, G., Hanson, P.J., Harding, R., Hollinger, D.Y., Hutyra, L.R., Kolari, P., Kruijt, B., Kutsch, W., Lagergren, F., Laurila, T., Law, B.E., Le Maire, G., Lindroth, A., Loustau, D., Malhi, Y., Mateus, J., Migliavacca, M., Misson, L., Montagnani, L., Moncrieff, J., Moors, E., Munger, J.W., Nikinmaa, E., Ollinger, S.V., Pita, G., Rebmann, C., Roupsard, O., Saigusa, N., Sanz, M.J., Seufert, G., Sierra, C., Smith, M.L., Tang, J., Valentini, R., Vesala, T. & Janssens, I.A. (2007) The CO2-balance of boreal, temperate and tropical forest derived from a global database. Global Change Biology, 13, 2509-2537."
617,Temperate,Temperate mountain system,North America,Canada - Montane Cordillera,,52,-118,4,1000,107,,"Luyssaert et al., 2007",,"Luyssaert, S., Inglima, I., Jung M., Richardson, A.D., Reichstein, M., Papale, D., Piao, S.L., Schulze, E.D., Wingate, L., Matteucci, G., Aragao, L., Aubinet, M., Beer, C., Bernhofer, C., Black, K.G., Bonal, D., Bonnefond, J.M., Chambers, J., Ciais, P., Cook, B., Davis, K.J., Dolman, A.J., Gielen, B., Goulden, M., Grace, J., Granier, A., Grelle, A., Griffis, T., GrÜNwald, T., Guidolotti, G., Hanson, P.J., Harding, R., Hollinger, D.Y., Hutyra, L.R., Kolari, P., Kruijt, B., Kutsch, W., Lagergren, F., Laurila, T., Law, B.E., Le Maire, G., Lindroth, A., Loustau, D., Malhi, Y., Mateus, J., Migliavacca, M., Misson, L., Montagnani, L., Moncrieff, J., Moors, E., Munger, J.W., Nikinmaa, E., Ollinger, S.V., Pita, G., Rebmann, C., Roupsard, O., Saigusa, N., Sanz, M.J., Seufert, G., Sierra, C., Smith, M.L., Tang, J., Valentini, R., Vesala, T. & Janssens, I.A. (2007) The CO2-balance of boreal, temperate and tropical forest derived from a global database. Global Change Biology, 13, 2509-2537."
618,Temperate,Temperate mountain system,North America,Canada - Pacific Maritime,,51,-125,6.7,2250,80,,"Luyssaert et al., 2007",,"Luyssaert, S., Inglima, I., Jung M., Richardson, A.D., Reichstein, M., Papale, D., Piao, S.L., Schulze, E.D., Wingate, L., Matteucci, G., Aragao, L., Aubinet, M., Beer, C., Bernhofer, C., Black, K.G., Bonal, D., Bonnefond, J.M., Chambers, J., Ciais, P., Cook, B., Davis, K.J., Dolman, A.J., Gielen, B., Goulden, M., Grace, J., Granier, A., Grelle, A., Griffis, T., GrÜNwald, T., Guidolotti, G., Hanson, P.J., Harding, R., Hollinger, D.Y., Hutyra, L.R., Kolari, P., Kruijt, B., Kutsch, W., Lagergren, F., Laurila, T., Law, B.E., Le Maire, G., Lindroth, A., Loustau, D., Malhi, Y., Mateus, J., Migliavacca, M., Misson, L., Montagnani, L., Moncrieff, J., Moors, E., Munger, J.W., Nikinmaa, E., Ollinger, S.V., Pita, G., Rebmann, C., Roupsard, O., Saigusa, N., Sanz, M.J., Seufert, G., Sierra, C., Smith, M.L., Tang, J., Valentini, R., Vesala, T. & Janssens, I.A. (2007) The CO2-balance of boreal, temperate and tropical forest derived from a global database. Global Change Biology, 13, 2509-2537."
619,Temperate,Temperate mountain system,North America,Cascade Head 10,,45.07,-123.89,9.9,2500,451.2,185,"Luyssaert et al., 2007",Tree rings,"Luyssaert, S., Inglima, I., Jung M., Richardson, A.D., Reichstein, M., Papale, D., Piao, S.L., Schulze, E.D., Wingate, L., Matteucci, G., Aragao, L., Aubinet, M., Beer, C., Bernhofer, C., Black, K.G., Bonal, D., Bonnefond, J.M., Chambers, J., Ciais, P., Cook, B., Davis, K.J., Dolman, A.J., Gielen, B., Goulden, M., Grace, J., Granier, A., Grelle, A., Griffis, T., GrÜNwald, T., Guidolotti, G., Hanson, P.J., Harding, R., Hollinger, D.Y., Hutyra, L.R., Kolari, P., Kruijt, B., Kutsch, W., Lagergren, F., Laurila, T., Law, B.E., Le Maire, G., Lindroth, A., Loustau, D., Malhi, Y., Mateus, J., Migliavacca, M., Misson, L., Montagnani, L., Moncrieff, J., Moors, E., Munger, J.W., Nikinmaa, E., Ollinger, S.V., Pita, G., Rebmann, C., Roupsard, O., Saigusa, N., Sanz, M.J., Seufert, G., Sierra, C., Smith, M.L., Tang, J., Valentini, R., Vesala, T. & Janssens, I.A. (2007) The CO2-balance of boreal, temperate and tropical forest derived from a global database. Global Change Biology, 13, 2509-2537."
620,Temperate,Temperate mountain system,North America,Cascade Head 11,,45.08,-123.9,9.9,2500,562.9,168,"Luyssaert et al., 2007",Tree rings,"Luyssaert, S., Inglima, I., Jung M., Richardson, A.D., Reichstein, M., Papale, D., Piao, S.L., Schulze, E.D., Wingate, L., Matteucci, G., Aragao, L., Aubinet, M., Beer, C., Bernhofer, C., Black, K.G., Bonal, D., Bonnefond, J.M., Chambers, J., Ciais, P., Cook, B., Davis, K.J., Dolman, A.J., Gielen, B., Goulden, M., Grace, J., Granier, A., Grelle, A., Griffis, T., GrÜNwald, T., Guidolotti, G., Hanson, P.J., Harding, R., Hollinger, D.Y., Hutyra, L.R., Kolari, P., Kruijt, B., Kutsch, W., Lagergren, F., Laurila, T., Law, B.E., Le Maire, G., Lindroth, A., Loustau, D., Malhi, Y., Mateus, J., Migliavacca, M., Misson, L., Montagnani, L., Moncrieff, J., Moors, E., Munger, J.W., Nikinmaa, E., Ollinger, S.V., Pita, G., Rebmann, C., Roupsard, O., Saigusa, N., Sanz, M.J., Seufert, G., Sierra, C., Smith, M.L., Tang, J., Valentini, R., Vesala, T. & Janssens, I.A. (2007) The CO2-balance of boreal, temperate and tropical forest derived from a global database. Global Change Biology, 13, 2509-2537."
621,Temperate,Temperate mountain system,North America,Cascade Head 12,,45.04,-123.9,9.9,2500,538.3,178,"Luyssaert et al., 2007",Tree rings,"Luyssaert, S., Inglima, I., Jung M., Richardson, A.D., Reichstein, M., Papale, D., Piao, S.L., Schulze, E.D., Wingate, L., Matteucci, G., Aragao, L., Aubinet, M., Beer, C., Bernhofer, C., Black, K.G., Bonal, D., Bonnefond, J.M., Chambers, J., Ciais, P., Cook, B., Davis, K.J., Dolman, A.J., Gielen, B., Goulden, M., Grace, J., Granier, A., Grelle, A., Griffis, T., GrÜNwald, T., Guidolotti, G., Hanson, P.J., Harding, R., Hollinger, D.Y., Hutyra, L.R., Kolari, P., Kruijt, B., Kutsch, W., Lagergren, F., Laurila, T., Law, B.E., Le Maire, G., Lindroth, A., Loustau, D., Malhi, Y., Mateus, J., Migliavacca, M., Misson, L., Montagnani, L., Moncrieff, J., Moors, E., Munger, J.W., Nikinmaa, E., Ollinger, S.V., Pita, G., Rebmann, C., Roupsard, O., Saigusa, N., Sanz, M.J., Seufert, G., Sierra, C., Smith, M.L., Tang, J., Valentini, R., Vesala, T. & Janssens, I.A. (2007) The CO2-balance of boreal, temperate and tropical forest derived from a global database. Global Change Biology, 13, 2509-2537."
622,Tropical,Tropical moist deciduous forest,North America,Chamela 1,,19.5,-105.02,24.9,707,40,100,"Luyssaert et al., 2007",No,"Luyssaert, S., Inglima, I., Jung M., Richardson, A.D., Reichstein, M., Papale, D., Piao, S.L., Schulze, E.D., Wingate, L., Matteucci, G., Aragao, L., Aubinet, M., Beer, C., Bernhofer, C., Black, K.G., Bonal, D., Bonnefond, J.M., Chambers, J., Ciais, P., Cook, B., Davis, K.J., Dolman, A.J., Gielen, B., Goulden, M., Grace, J., Granier, A., Grelle, A., Griffis, T., GrÜNwald, T., Guidolotti, G., Hanson, P.J., Harding, R., Hollinger, D.Y., Hutyra, L.R., Kolari, P., Kruijt, B., Kutsch, W., Lagergren, F., Laurila, T., Law, B.E., Le Maire, G., Lindroth, A., Loustau, D., Malhi, Y., Mateus, J., Migliavacca, M., Misson, L., Montagnani, L., Moncrieff, J., Moors, E., Munger, J.W., Nikinmaa, E., Ollinger, S.V., Pita, G., Rebmann, C., Roupsard, O., Saigusa, N., Sanz, M.J., Seufert, G., Sierra, C., Smith, M.L., Tang, J., Valentini, R., Vesala, T. & Janssens, I.A. (2007) The CO2-balance of boreal, temperate and tropical forest derived from a global database. Global Change Biology, 13, 2509-2537."
623,Tropical,Tropical moist deciduous forest,North America,Chamela 2,,19.5,-105.02,24.9,744,40.4,100,"Luyssaert et al., 2007",No,"Luyssaert, S., Inglima, I., Jung M., Richardson, A.D., Reichstein, M., Papale, D., Piao, S.L., Schulze, E.D., Wingate, L., Matteucci, G., Aragao, L., Aubinet, M., Beer, C., Bernhofer, C., Black, K.G., Bonal, D., Bonnefond, J.M., Chambers, J., Ciais, P., Cook, B., Davis, K.J., Dolman, A.J., Gielen, B., Goulden, M., Grace, J., Granier, A., Grelle, A., Griffis, T., GrÜNwald, T., Guidolotti, G., Hanson, P.J., Harding, R., Hollinger, D.Y., Hutyra, L.R., Kolari, P., Kruijt, B., Kutsch, W., Lagergren, F., Laurila, T., Law, B.E., Le Maire, G., Lindroth, A., Loustau, D., Malhi, Y., Mateus, J., Migliavacca, M., Misson, L., Montagnani, L., Moncrieff, J., Moors, E., Munger, J.W., Nikinmaa, E., Ollinger, S.V., Pita, G., Rebmann, C., Roupsard, O., Saigusa, N., Sanz, M.J., Seufert, G., Sierra, C., Smith, M.L., Tang, J., Valentini, R., Vesala, T. & Janssens, I.A. (2007) The CO2-balance of boreal, temperate and tropical forest derived from a global database. Global Change Biology, 13, 2509-2537."
624,Tropical,Tropical moist deciduous forest,North America,Chamela 3,,19.5,-105.02,24.9,707,40,100,"Luyssaert et al., 2007",No,"Luyssaert, S., Inglima, I., Jung M., Richardson, A.D., Reichstein, M., Papale, D., Piao, S.L., Schulze, E.D., Wingate, L., Matteucci, G., Aragao, L., Aubinet, M., Beer, C., Bernhofer, C., Black, K.G., Bonal, D., Bonnefond, J.M., Chambers, J., Ciais, P., Cook, B., Davis, K.J., Dolman, A.J., Gielen, B., Goulden, M., Grace, J., Granier, A., Grelle, A., Griffis, T., GrÜNwald, T., Guidolotti, G., Hanson, P.J., Harding, R., Hollinger, D.Y., Hutyra, L.R., Kolari, P., Kruijt, B., Kutsch, W., Lagergren, F., Laurila, T., Law, B.E., Le Maire, G., Lindroth, A., Loustau, D., Malhi, Y., Mateus, J., Migliavacca, M., Misson, L., Montagnani, L., Moncrieff, J., Moors, E., Munger, J.W., Nikinmaa, E., Ollinger, S.V., Pita, G., Rebmann, C., Roupsard, O., Saigusa, N., Sanz, M.J., Seufert, G., Sierra, C., Smith, M.L., Tang, J., Valentini, R., Vesala, T. & Janssens, I.A. (2007) The CO2-balance of boreal, temperate and tropical forest derived from a global database. Global Change Biology, 13, 2509-2537."
625,Boreal,Boreal coniferous forest,North America,Chibougamau EOBS,,49.69,-74.34,-0.5,1008,45,95,"Luyssaert et al., 2007",Tree rings,"Luyssaert, S., Inglima, I., Jung M., Richardson, A.D., Reichstein, M., Papale, D., Piao, S.L., Schulze, E.D., Wingate, L., Matteucci, G., Aragao, L., Aubinet, M., Beer, C., Bernhofer, C., Black, K.G., Bonal, D., Bonnefond, J.M., Chambers, J., Ciais, P., Cook, B., Davis, K.J., Dolman, A.J., Gielen, B., Goulden, M., Grace, J., Granier, A., Grelle, A., Griffis, T., GrÜNwald, T., Guidolotti, G., Hanson, P.J., Harding, R., Hollinger, D.Y., Hutyra, L.R., Kolari, P., Kruijt, B., Kutsch, W., Lagergren, F., Laurila, T., Law, B.E., Le Maire, G., Lindroth, A., Loustau, D., Malhi, Y., Mateus, J., Migliavacca, M., Misson, L., Montagnani, L., Moncrieff, J., Moors, E., Munger, J.W., Nikinmaa, E., Ollinger, S.V., Pita, G., Rebmann, C., Roupsard, O., Saigusa, N., Sanz, M.J., Seufert, G., Sierra, C., Smith, M.L., Tang, J., Valentini, R., Vesala, T. & Janssens, I.A. (2007) The CO2-balance of boreal, temperate and tropical forest derived from a global database. Global Change Biology, 13, 2509-2537."
626,Subtropical,Subtropical mountain system,Europe,Collelongo,,41.85,13.59,7.5,1169,113.1,102,"Luyssaert et al., 2007",Tree rings,"Luyssaert, S., Inglima, I., Jung M., Richardson, A.D., Reichstein, M., Papale, D., Piao, S.L., Schulze, E.D., Wingate, L., Matteucci, G., Aragao, L., Aubinet, M., Beer, C., Bernhofer, C., Black, K.G., Bonal, D., Bonnefond, J.M., Chambers, J., Ciais, P., Cook, B., Davis, K.J., Dolman, A.J., Gielen, B., Goulden, M., Grace, J., Granier, A., Grelle, A., Griffis, T., GrÜNwald, T., Guidolotti, G., Hanson, P.J., Harding, R., Hollinger, D.Y., Hutyra, L.R., Kolari, P., Kruijt, B., Kutsch, W., Lagergren, F., Laurila, T., Law, B.E., Le Maire, G., Lindroth, A., Loustau, D., Malhi, Y., Mateus, J., Migliavacca, M., Misson, L., Montagnani, L., Moncrieff, J., Moors, E., Munger, J.W., Nikinmaa, E., Ollinger, S.V., Pita, G., Rebmann, C., Roupsard, O., Saigusa, N., Sanz, M.J., Seufert, G., Sierra, C., Smith, M.L., Tang, J., Valentini, R., Vesala, T. & Janssens, I.A. (2007) The CO2-balance of boreal, temperate and tropical forest derived from a global database. Global Change Biology, 13, 2509-2537."
